date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2015-12-31,12.1,12.13,11.99,11.98,491258.91,-0.11,-0.91,12.114,12.256,12.126,573196.35,754740.8,621854.62,0.42
2015-12-30,12.09,12.11,12.1,11.95,532667.06,0.01,0.08,12.184,12.264,12.149,602990.5,770442.38,668590.51,0.45
2015-12-29,11.99,12.1,12.09,11.97,619802.12,0.11,0.92,12.26,12.243,12.17,704260.73,756451.95,722745.2,0.53
2015-12-28,12.43,12.46,11.98,11.98,822408.62,-0.43,-3.46,12.328,12.226,12.153,719918.6,730920.48,725767.79,0.7
2015-12-25,12.38,12.47,12.41,12.33,399845.06,0.07,0.57,12.434,12.235,12.141,811665.3,707403.28,717572.05,0.34
2015-12-24,12.46,12.56,12.34,12.24,640229.62,-0.14,-1.12,12.398,12.177,12.107,936285.24,705369.57,733981.09,0.54
2015-12-23,12.47,12.78,12.48,12.4,1039018.25,0.05,0.4,12.344,12.139,12.101,937894.26,683106.97,729580.12,0.88
2015-12-22,12.5,12.62,12.43,12.38,698091.44,-0.08,-0.64,12.226,12.09,12.093,808643.17,622143.58,703302.34,0.59
2015-12-21,12.14,12.72,12.51,12.11,1281142.12,0.28,2.29,12.124,12.043,12.086,741922.35,602644.61,701608.51,1.09
2015-12-18,12.03,12.55,12.23,12.02,1022944.75,0.16,1.33,12.036,12.007,12.083,603141.25,514809.67,667950.17,0.87
2015-12-17,11.97,12.14,12.07,11.96,648274.75,0.18,1.51,11.956,11.996,12.099,474453.91,488968.44,646704.75,0.55
2015-12-16,11.98,12.01,11.89,11.88,392762.81,-0.03,-0.25,11.934,12.034,12.12,428319.68,566738.64,637847.04,0.33
2015-12-15,12.03,12.09,11.92,11.86,364487.34,-0.15,-1.24,11.954,12.096,12.147,435643.98,689038.44,657894.14,0.31
2015-12-14,11.73,12.11,12.07,11.71,587236.62,0.24,2.03,11.962,12.079,12.176,463366.87,720615.1,691994.1,0.5
2015-12-11,11.91,11.92,11.83,11.73,379508.03,-0.13,-1.09,11.978,12.046,12.189,426478.08,727740.82,690624.7,0.32
2015-12-10,11.95,12.14,11.96,11.91,417603.59,-0.03,-0.25,12.036,12.036,12.21,503482.96,762592.61,701027.05,0.35
2015-12-09,11.92,12.12,11.99,11.9,429384.34,0.03,0.25,12.134,12.063,12.232,705157.59,776053.27,713703.86,0.36
